16.28	56
16.31	29
16.33	35
16.35	-18
16.38	-21
16.40	152
16.43	17
16.45	-12
16.46	-41
16.50	-44
16.51	53
16.53	-103
16.56	75
16.58	64
16.61	-11
16.63	-103
16.65	67
16.68	42
16.70	34
16.71	4
16.75	-35
16.76	-61
16.80	-1
16.81	64
16.83	-22
16.86	-190
16.88	68
16.91	0
16.93	29
16.95	33
16.98	66
17.0	80
17.1	84
17.5	2
17.6	126
17.10	-90
17.11	12
17.13	-85
17.16	51
17.18	-58
17.20	28
17.23	-87
17.25	-164
17.28	1
17.30	-63
17.31	-67
17.35	-18
17.36	40
17.40	-151
17.41	-77
17.43	-28
17.46	-55
17.48	-50
17.50	68
17.53	51
17.55	27
17.58	82
17.60	-1
17.61	92
17.65	37
17.66	106
17.70	-55
17.71	52
17.73	-19
17.76	-102
17.78	-27
17.80	-65
17.83	-134
17.85	108
17.88	81
17.90	-18
17.91	-25
17.95	-32
17.96	-9
17.98	-39
18.1	-26
18.3	-106
18.6	3
18.8	101
18.10	80
18.13	-89
18.15	17
18.18	25
18.20	-53
18.21	-4
18.25	20
18.26	19
18.30	46
18.31	89
18.35	-6
18.36	-89
18.40	-89
18.41	42
18.43	85
18.46	1
18.48	-44
18.51	78
18.53	23
18.55	-74
18.58	-62
