16.28	-1053
16.31	1415
16.33	713
16.35	134
16.38	855
16.40	-441
16.43	-1502
16.45	434
16.46	1345
16.50	2154
16.51	879
16.53	183
16.56	191
16.58	519
16.61	-837
16.63	214
16.65	-616
16.68	2
16.70	2091
16.71	26
16.75	-404
16.76	-874
16.80	146
16.81	900
16.83	-1050
16.86	139
16.88	-705
16.91	154
16.93	3264
16.95	216
16.98	-462
17.0	-1653
17.1	415
17.5	-1350
17.6	-2233
17.10	2636
17.11	-517
17.13	11
17.16	1286
17.18	210
17.20	-135
17.23	47
17.25	234
17.28	-954
17.30	-1790
17.31	342
17.35	-1392
17.36	-979
17.40	635
17.41	-257
17.43	-766
17.46	1145
17.48	1871
17.50	-1542
17.53	-782
17.55	1486
17.58	271
17.60	434
17.61	2590
17.65	545
17.66	-427
17.70	327
17.71	696
17.73	-1929
17.76	1391
17.78	-306
17.80	-961
17.83	-295
17.85	1730
17.88	575
17.90	1992
17.91	-573
17.95	-1770
17.96	197
17.98	-47
18.1	397
18.3	-67
18.6	953
18.8	1879
18.10	-518
18.13	1041
18.15	-523
18.18	-396
18.20	320
18.21	1522
18.25	-1128
18.26	-328
18.30	-649
18.31	-474
18.35	-796
18.36	1085
18.40	708
18.41	-1070
18.43	-1361
18.46	49
18.48	1207
18.51	-21
18.53	-276
18.55	372
18.58	140
